"hashtags","avg_hashtags_per_tweet","avg_mentions_per_tweet","proportion_original_tweet","proportion_retweet","proportion_reply","proportion_quote_tweet","proportion_contains_media","proportion_contains_URL","avg_account_age","avg_account_total_tweets","avg_account_total_likes","avg_account_total_followers","avg_account_total_following","avg_account_total_lists","posts_per_hashtag","accounts_per_hashtag","avg_posts_per_account","avg_calendar_weeks_participated","avg_mentioned_by_other_users_per_account","avg_mentioned_other_users_per_account","avg_two_way_mentions_per_account"
"mnedchat",4.02008032128514,0.477911646586345,0.67479674796748,0.314363143631436,0.010840108401084,0.0650406504065041,0.301204819277108,0.795180722891566,1806.18784642401,9275.06206896552,6175.79310344828,3463.37931034483,2432.66896551724,203.931034482759,369,145,2.5448275862069,1.75862068965517,1.0551724137931,1.47586206896552,0.282758620689655
"msedchat",1.88319427890346,0.191895113230036,0.627994011976048,0.276946107784431,0.095059880239521,0.0426646706586826,0.232419547079857,0.212157330154946,1628.98966471845,7235.98190045249,5201.54751131222,2879.96380090498,1745.43438914027,128.696832579186,1336,221,6.04524886877828,1.69683257918552,1.47963800904977,1.87330316742081,0.339366515837104
"moedchat",2.05301743406348,0.291908806437193,0.45031806103551,0.406634994766084,0.143046944198406,0.0816893469683549,0.14224407688869,0.223960661600358,1608.41187857959,4330.52408841867,3621.48743623654,1435.71849612696,1077.74513508407,86.5324012847157,24838,5293,4.69261288494238,1.77933119214056,1.62951067447572,2.58152276591725,0.457396561496316
"mtedchat",1.62301425661914,0.424439918533605,0.551437556154537,0.296495956873315,0.152066486972147,0.071203953279425,0.113849287169043,0.159063136456212,1649.88422958619,5958.85485164395,4222.2060946271,1960.22373696873,1356.57016840417,113.493183640738,8904,1247,7.14033680834002,1.7121090617482,2.01042502004812,2.77064955894146,0.670408981555734
"nebedchat",1.67535429223,0.333441928652875,0.550385511923973,0.310650887573964,0.138963600502062,0.0794333871256948,0.0920345333116143,0.144160286691644,1740.35159698142,5631.48926174497,4139.17919463087,1978.9033557047,1271.89395973154,106.561073825503,11154,1490,7.48590604026846,2.05570469798658,2.76442953020134,3.59865771812081,0.808724832214765
"nved",2.60271682340648,0.680877742946708,0.588850603002707,0.39428993354664,0.0168594634506522,0.0417179424070884,0.148798328108673,0.510971786833856,1759.84310401129,7814.96359499431,4527.03981797497,4497.59158134243,1161.39249146758,105.903299203641,8126,879,9.24459613196815,2.6575654152446,3.78270762229807,4.73265073947668,0.960182025028441
"nvedchat",1.74529914529915,0.385299145299145,0.569620253164557,0.300292112950341,0.130087633885102,0.0866601752677702,0.188717948717949,0.154188034188034,1644.43764604247,9152.56878850103,6731.67351129363,3407.44558521561,2085.75564681725,201.739219712526,5135,487,10.5441478439425,2.25872689938398,3.06160164271047,4.07186858316222,1.01026694045175
"nhed",2.16989881956155,0.352445193929174,0.567599904283321,0.197654941373534,0.234745154343144,0.0519262981574539,0.169477234401349,0.290050590219224,1836.90120041322,9372.55041322314,6462.37355371901,2866.88925619835,2036.39504132231,172.900826446281,4179,605,6.90743801652893,1.82809917355372,1.89917355371901,2.40661157024793,0.634710743801653
"njed",3.00018763486256,0.705882352941177,0.498200514138817,0.47225987380229,0.0295396120588923,0.0545454545454545,0.207055070832161,0.62351064827845,1668.55443206953,6456.45054446461,4617.89360254083,2354.36206896552,1376.39904718693,127.115245009074,21395,4408,4.85367513611615,2.12749546279492,2.6002722323049,3.60276769509982,0.681034482758621
"nyedchat",2.21696743414229,0.418792781580585,0.355321344339623,0.538472877358491,0.106205778301887,0.0633844339622641,0.231072391619996,0.306575399294752,1642.44775368093,7054.36726599683,5438.1385510312,2234.3561607615,1504.40507667901,128.352459016393,13568,3782,3.58751983077737,1.5772078265468,2.08276044420941,2.63432046536224,0.534108937070333
